alpha_deg	beta_deg	gamma_deg	sse	sum_diff
172.00	66.00	169.00	0.03748785	-0.22182456
172.00	114.00	11.00	0.03748785	-0.22182456
172.00	114.00	79.00	0.03748785	-0.22182456
172.00	114.00	101.00	0.03748785	-0.22182456
172.00	114.00	169.00	0.03748785	-0.22182456
173.00	66.00	11.00	0.03748785	-0.22182456
173.00	66.00	79.00	0.03748785	-0.22182456
173.00	66.00	101.00	0.03748785	-0.22182456
173.00	66.00	169.00	0.03748785	-0.22182456
173.00	114.00	11.00	0.03748785	-0.22182456
173.00	114.00	79.00	0.03748785	-0.22182456
173.00	114.00	101.00	0.03748785	-0.22182456
173.00	114.00	169.00	0.03748785	-0.22182456
174.00	66.00	11.00	0.03748785	-0.22182456
174.00	66.00	79.00	0.03748785	-0.22182456
174.00	66.00	101.00	0.03748785	-0.22182456
174.00	66.00	169.00	0.03748785	-0.22182456
174.00	114.00	11.00	0.03748785	-0.22182456
174.00	114.00	79.00	0.03748785	-0.22182456
174.00	114.00	101.00	0.03748785	-0.22182456
174.00	114.00	169.00	0.03748785	-0.22182456
175.00	66.00	11.00	0.03748785	-0.22182456
175.00	66.00	79.00	0.03748785	-0.22182456
175.00	66.00	101.00	0.03748785	-0.22182456
175.00	66.00	169.00	0.03748785	-0.22182456
175.00	114.00	11.00	0.03748785	-0.22182456
175.00	114.00	79.00	0.03748785	-0.22182456
175.00	114.00	101.00	0.03748785	-0.22182456
175.00	114.00	169.00	0.03748785	-0.22182456
176.00	66.00	11.00	0.03748785	-0.22182456
176.00	66.00	79.00	0.03748785	-0.22182456
176.00	66.00	101.00	0.03748785	-0.22182456
176.00	66.00	169.00	0.03748785	-0.22182456
176.00	114.00	11.00	0.03748785	-0.22182456
176.00	114.00	79.00	0.03748785	-0.22182456
176.00	114.00	101.00	0.03748785	-0.22182456
176.00	114.00	169.00	0.03748785	-0.22182456
177.00	66.00	11.00	0.03748785	-0.22182456
177.00	66.00	79.00	0.03748785	-0.22182456
177.00	66.00	101.00	0.03748785	-0.22182456
177.00	66.00	169.00	0.03748785	-0.22182456
177.00	114.00	11.00	0.03748785	-0.22182456
177.00	114.00	79.00	0.03748785	-0.22182456
177.00	114.00	101.00	0.03748785	-0.22182456
177.00	114.00	169.00	0.03748785	-0.22182456
178.00	66.00	11.00	0.03748785	-0.22182456
178.00	66.00	79.00	0.03748785	-0.22182456
178.00	66.00	101.00	0.03748785	-0.22182456
178.00	66.00	169.00	0.03748785	-0.22182456
178.00	114.00	11.00	0.03748785	-0.22182456
178.00	114.00	79.00	0.03748785	-0.22182456
178.00	114.00	101.00	0.03748785	-0.22182456
178.00	114.00	169.00	0.03748785	-0.22182456
179.00	66.00	11.00	0.03748785	-0.22182456
179.00	66.00	79.00	0.03748785	-0.22182456
179.00	66.00	101.00	0.03748785	-0.22182456
179.00	66.00	169.00	0.03748785	-0.22182456
179.00	114.00	11.00	0.03748785	-0.22182456
179.00	114.00	79.00	0.03748785	-0.22182456
179.00	114.00	101.00	0.03748785	-0.22182456
179.00	114.00	169.00	0.03748785	-0.22182456
180.00	66.00	11.00	0.03748785	-0.22182456
180.00	66.00	79.00	0.03748785	-0.22182456
180.00	66.00	101.00	0.03748785	-0.22182456
180.00	66.00	169.00	0.03748785	-0.22182456
180.00	114.00	11.00	0.03748785	-0.22182456
180.00	114.00	79.00	0.03748785	-0.22182456
180.00	114.00	101.00	0.03748785	-0.22182456
180.00	114.00	169.00	0.03748785	-0.22182456
